;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps
0;0;0;0;0;0;9
1;1;0;1;0;0;18
2;2;0;2;0;0;27
3;2;0;2;0;0;36
4;3;0;3;0;0;45
5;3;0;3;0;0;54
6;3;0;3;0;0;63
7;3;0;3;0;0;72
8;3;0;3;0;0;81
9;3;0;3;0;0;89
10;3;0;3;0;0;98
11;3;0;3;0;0;106
12;3;0;3;0;0;114
13;3;0;3;0;0;123
14;3;0;3;0;0;132
15;3;0;3;0;0;141
16;3;0;3;0;0;150
17;3;0;3;0;0;159
18;3;0;3;0;0;168
19;3;0;3;0;0;177
20;3;0;3;0;0;186
21;3;0;3;0;0;195
22;3;0;3;0;0;204
23;3;0;3;0;0;213
24;3;0;3;0;0;220
25;3;0;3;0;0;228
26;3;0;3;0;0;237
27;3;0;3;0;0;245
28;3;0;3;0;0;254
29;3;0;3;0;0;263
30;3;0;3;0;0;271
31;3;0;3;0;0;280
32;3;0;3;0;0;289
33;3;0;3;0;0;297
34;3;0;3;0;0;306
35;3;0;3;0;0;315
36;3;0;3;0;0;324
37;3;0;3;0;0;333
38;3;0;3;0;0;342
39;3;0;3;0;0;351
40;3;0;3;0;0;360
41;3;0;3;0;0;368
42;3;0;3;0;0;376
43;3;0;3;0;0;384
44;3;0;3;0;0;393
45;3;0;3;0;0;402
46;3;0;3;0;0;410
47;3;0;3;1;0;418
48;3;0;3;2;0;426
49;3;0;3;3;0;433
50;4;0;4;5;0;440
51;4;0;4;7;0;446
52;4;0;4;10;0;452
53;4;0;4;13;0;458
54;4;0;4;16;0;464
55;4;0;4;19;0;469
56;4;0;4;23;0;474
57;4;0;4;27;0;479
58;4;0;4;31;0;484
59;4;0;4;35;0;489
60;4;0;4;39;0;494
61;5;0;5;43;0;499
62;5;0;5;47;1;503
63;5;0;5;51;2;507
64;5;0;5;55;2;512
65;5;0;5;59;2;517
66;5;0;5;63;2;522
67;5;0;5;67;2;527
68;5;0;5;71;3;531
69;5;0;5;75;4;535
70;5;0;5;79;4;540
71;5;0;5;83;5;544
72;6;0;6;87;5;549
73;6;0;6;91;5;554
74;6;0;6;95;5;559
75;6;0;6;99;5;564
76;6;0;6;103;5;569
77;6;0;6;107;5;574
78;6;0;6;111;5;579
79;6;0;6;115;5;584
80;6;0;6;119;5;589
81;6;0;6;123;5;594
82;6;0;6;127;5;599
83;6;0;6;131;5;604
84;6;0;6;135;5;609
85;6;0;6;139;5;614
86;6;0;6;143;5;619
87;6;0;6;147;5;624
88;6;0;6;151;5;629
89;6;0;6;155;5;633
90;6;0;6;159;5;638
